issue,date,r1,r2,r3,r4,r5,b1,b2,sales,pool
20210108,2021-01-08,18,23,37,41,42,4,6,0,30824040
20210112,2021-01-12,2,10,18,34,35,6,9,0,41607178
20210115,2021-01-15,4,10,27,38,40,3,11,0,56331898
20210119,2021-01-19,25,27,31,35,43,5,6,0,67733808
20210122,2021-01-22,8,16,42,44,47,6,7,0,80566353
20210126,2021-01-26,5,7,25,37,40,2,8,0,17000000
20210129,2021-01-29,1,5,27,36,42,1,6,0,30681161
20210202,2021-02-02,18,20,35,38,48,9,12,0,41721143
20210205,2021-02-05,12,19,37,44,45,2,6,0,130000000
20210209,2021-02-09,5,10,24,31,37,9,10,0,145042671
20210212,2021-02-12,7,23,30,32,36,8,12,0,164677184
20210216,2021-02-16,5,9,25,29,30,6,7,0,180847515
20210219,2021-02-19,4,12,25,46,48,7,12,0,206564757
20210223,2021-02-23,9,18,30,39,45,1,3,0,210000000
20210226,2021-02-26,6,12,22,29,33,6,11,0,210000000
20210302,2021-03-02,2,19,24,26,49,6,7,0,17000000
20210305,2021-03-05,4,5,39,46,48,7,10,0,32402008
20210309,2021-03-09,1,16,21,32,33,11,12,0,44153103
20210312,2021-03-12,4,6,9,11,44,10,11,0,60764885
20210316,2021-03-16,23,25,32,35,47,2,6,0,73410604
20210319,2021-03-19,3,9,35,43,44,1,10,0,87587639
20210323,2021-03-23,2,26,29,36,49,3,9,0,99009615
20210326,2021-03-26,10,12,37,49,50,3,8,0,115321837
20210330,2021-03-30,24,27,28,29,42,4,8,0,128213947
20210402,2021-04-02,4,21,34,40,47,2,5,0,144755907
20210406,2021-04-06,2,21,37,38,50,7,8,0,17000000
20210409,2021-04-09,2,8,32,35,44,8,11,0,31216341
20210413,2021-04-13,16,20,31,47,50,2,8,0,42155143
20210416,2021-04-16,6,11,29,40,48,5,9,0,56913174
20210420,2021-04-20,5,17,28,41,46,10,11,0,68414615
20210423,2021-04-23,3,14,15,19,29,2,8,0,17000000
20210427,2021-04-27,13,14,24,35,49,1,10,0,27232271
20210430,2021-04-30,1,16,24,28,46,2,11,0,43409687
20210504,2021-05-04,3,10,13,28,46,4,11,0,54222329
20210507,2021-05-07,14,22,33,38,47,8,9,0,69463976
20210511,2021-05-11,14,25,34,43,46,5,6,0,17000000
20210514,2021-05-14,6,16,18,29,38,6,11,0,30241215
20210518,2021-05-18,5,13,38,39,40,4,12,0,40625089
20210521,2021-05-21,2,9,13,15,35,3,10,0,54934280
20210525,2021-05-25,1,21,26,30,38,2,8,0,65838496
20210528,2021-05-28,11,13,16,34,40,1,12,0,78620802
20210601,2021-06-01,3,10,26,35,44,6,7,0,88760288
20210604,2021-06-04,7,20,36,40,46,2,4,0,130000000
20210608,2021-06-08,2,11,26,36,47,7,9,0,17000000
20210611,2021-06-11,9,17,21,33,39,7,11,0,30382655
20210615,2021-06-15,11,21,26,30,31,2,3,0,17000000
20210618,2021-06-18,11,20,27,30,41,3,5,0,29998047
20210622,2021-06-22,6,24,26,27,41,3,8,0,39918304
20210625,2021-06-25,1,29,30,33,36,3,12,0,53683594
20210629,2021-06-29,6,12,20,24,48,5,6,0,64340127
20210702,2021-07-02,9,14,29,38,49,7,10,0,77959528
20210706,2021-07-06,2,5,21,27,42,9,11,0,17000000
20210709,2021-07-09,6,19,36,37,49,4,11,0,17000000
20210713,2021-07-13,5,6,8,11,22,3,4,0,26482986
20210716,2021-07-16,5,16,42,47,49,3,11,0,17000000
20210720,2021-07-20,3,12,19,41,48,6,9,0,26211196
20210723,2021-07-23,23,24,26,34,50,2,4,0,38825770
20210727,2021-07-27,5,9,19,21,25,10,12,0,48844837
20210730,2021-07-30,10,23,33,35,37,5,10,0,62793085
20210803,2021-08-03,17,21,23,45,46,7,11,0,72123753
20210806,2021-08-06,7,14,21,26,32,4,12,0,84880433
20210810,2021-08-10,9,37,47,48,49,2,7,0,95302087
20210813,2021-08-13,6,12,44,47,49,8,12,0,113156128
20210817,2021-08-17,12,31,41,42,47,4,6,0,17000000
20210820,2021-08-20,3,9,19,20,23,9,11,0,29593864
20210824,2021-08-24,19,21,36,44,50,3,10,0,39413483
20210827,2021-08-27,2,3,31,46,50,8,12,0,53070091
20210831,2021-08-31,5,13,17,32,43,2,10,0,63644286
20210903,2021-09-03,5,7,13,29,35,3,7,0,17000000
20210907,2021-09-07,7,19,35,42,43,7,9,0,26572332
20210910,2021-09-10,1,6,7,18,28,2,8,0,17000000
20210914,2021-09-14,12,18,35,38,45,2,8,0,26452496
20210917,2021-09-17,5,7,8,10,34,1,9,0,39791600
20210921,2021-09-21,20,25,26,30,38,2,8,0,50323000
20210924,2021-09-24,2,12,20,27,41,10,12,0,130000000
20210928,2021-09-28,6,7,12,33,39,1,7,0,144513199
20211001,2021-10-01,1,15,19,26,48,6,12,0,164139268
20211005,2021-10-05,11,13,14,36,45,7,9,0,180775500
20211008,2021-10-08,1,10,23,42,46,3,5,0,204959523
20211012,2021-10-12,6,13,22,45,49,10,11,0,220000000
20211015,2021-10-15,21,26,31,34,49,2,5,0,220000000
20211019,2021-10-19,4,20,36,40,41,1,6,0,17000000
20211022,2021-10-22,12,17,22,33,39,2,12,0,30765413
20211026,2021-10-26,12,15,20,42,44,1,2,0,41218951
20211029,2021-10-29,10,15,28,32,49,3,9,0,56130474
20211102,2021-11-02,2,3,17,29,43,1,4,0,67114273
20211105,2021-11-05,2,12,25,30,41,8,11,0,80098420
20211109,2021-11-09,17,25,26,33,36,1,8,0,90574742
20211112,2021-11-12,2,9,15,47,50,6,9,0,104804310
20211116,2021-11-16,9,19,21,32,36,3,4,0,116414664
20211119,2021-11-19,22,26,38,47,50,2,6,0,132310193
20211123,2021-11-23,17,21,36,42,46,7,10,0,145091098
20211126,2021-11-26,1,20,41,42,50,3,7,0,162289050
20211130,2021-11-30,19,20,26,33,43,1,4,0,17000000
20211203,2021-12-03,21,22,29,32,46,9,10,0,130000000
20211207,2021-12-07,22,31,38,46,47,7,11,0,143469842
20211210,2021-12-10,11,21,33,38,42,2,8,0,17000000
20211214,2021-12-14,19,21,37,47,48,3,6,0,27297367
20211217,2021-12-17,1,2,15,30,35,2,7,0,41402488
20211221,2021-12-21,12,17,21,34,38,2,3,0,52678478
20211224,2021-12-24,2,26,28,34,41,5,10,0,69443074
20211228,2021-12-28,4,6,15,17,29,9,12,0,79411191
20211231,2021-12-31,7,22,25,43,49,6,7,0,17571602
20220104,2022-01-04,18,28,35,36,41,6,11,0,17000000
20220107,2022-01-07,2,14,37,44,50,7,11,0,30434021
20220111,2022-01-11,4,23,32,33,44,9,12,0,41198749
20220114,2022-01-14,6,17,25,31,46,9,12,0,55802638
20220118,2022-01-18,3,12,19,24,30,2,5,0,67441797
20220121,2022-01-21,5,14,35,36,39,7,12,0,26158375
20220125,2022-01-25,6,16,18,39,47,2,4,0,36602485
20220128,2022-01-28,10,25,29,34,45,9,10,0,51355483
20220201,2022-02-01,1,19,36,38,49,6,9,0,62918725
20220204,2022-02-04,3,25,38,43,49,3,7,0,130000000
20220208,2022-02-08,6,20,34,37,43,7,10,0,17000000
20220211,2022-02-11,13,18,38,42,45,7,11,0,30928078
20220215,2022-02-15,9,20,31,33,44,2,12,0,17000000
20220218,2022-02-18,25,38,41,43,50,6,10,0,30386297
20220222,2022-02-22,5,9,14,26,32,3,7,0,40960814
20220225,2022-02-25,10,13,24,30,42,1,5,0,55111352
20220301,2022-03-01,8,24,26,39,42,3,5,0,65887876
20220304,2022-03-04,6,20,40,42,43,10,12,0,78587957
20220308,2022-03-08,12,18,21,25,31,2,9,0,17000000
20220311,2022-03-11,12,19,22,23,48,2,6,0,30105266
20220315,2022-03-15,1,2,12,19,26,2,8,0,40030704
20220318,2022-03-18,1,9,14,17,43,6,12,0,53651194
20220322,2022-03-22,7,17,21,29,40,8,11,0,17000000
20220325,2022-03-25,6,10,24,27,29,5,12,0,30608285
20220329,2022-03-29,8,11,33,42,43,6,11,0,40310864
20220401,2022-04-01,2,7,21,31,45,4,10,0,54338154
20220405,2022-04-05,1,11,13,24,49,5,6,0,64950730
20220408,2022-04-08,1,15,16,38,45,4,11,0,77113731
20220412,2022-04-12,21,30,31,35,47,2,10,0,86707525
20220415,2022-04-15,6,24,30,32,48,5,6,0,99284232
20220419,2022-04-19,2,12,17,28,46,6,10,0,109726011
20220422,2022-04-22,6,11,21,35,36,1,9,0,125443189
20220426,2022-04-26,4,25,28,34,45,8,11,0,138997634
20220429,2022-04-29,10,11,20,36,37,3,7,0,158670926
20220503,2022-05-03,8,20,26,47,48,3,8,0,174025283
20220506,2022-05-06,3,8,18,24,40,3,11,0,195426739
20220510,2022-05-10,3,25,27,28,29,4,9,0,215840341
20220513,2022-05-13,3,11,17,45,48,4,8,0,17000000
20220517,2022-05-17,5,28,30,48,49,5,11,0,26854990
20220520,2022-05-20,8,22,23,32,50,3,9,0,40361205
20220524,2022-05-24,10,13,27,36,37,2,10,0,50656220
20220527,2022-05-27,15,23,28,34,48,3,5,0,17000000
20220531,2022-05-31,3,10,13,42,49,3,9,0,26862123
20220603,2022-06-03,12,28,29,34,48,9,11,0,40193759
20220607,2022-06-07,6,16,17,25,31,2,6,0,50425091
20220610,2022-06-10,17,26,36,37,40,9,12,0,64382899
20220614,2022-06-14,2,7,27,34,40,3,11,0,17000000
20220617,2022-06-17,19,21,22,31,38,7,11,0,130000000
20220621,2022-06-21,6,23,36,39,47,8,10,0,143671414
20220624,2022-06-24,10,17,28,44,50,8,12,0,161066308
20220628,2022-06-28,10,35,42,47,48,2,11,0,175942220
20220701,2022-07-01,6,18,24,34,46,3,12,0,196414962
20220705,2022-07-05,7,10,25,45,48,3,6,0,215357108
20220708,2022-07-08,28,31,35,43,46,4,7,0,230000000
20220712,2022-07-12,14,18,24,25,50,6,11,0,230000000
20220715,2022-07-15,9,17,29,38,39,7,10,0,230000000
20220719,2022-07-19,6,23,27,40,41,2,12,0,230000000
20220722,2022-07-22,16,18,29,32,50,4,11,0,17000000
20220726,2022-07-26,3,5,17,25,27,1,9,0,27478522
20220729,2022-07-29,3,23,38,43,48,3,8,0,41717625
20220802,2022-08-02,7,18,28,40,48,8,11,0,17000000
20220805,2022-08-05,3,29,33,35,44,8,10,0,30356111
20220809,2022-08-09,18,19,21,27,47,5,11,0,40859540
20220812,2022-08-12,14,17,34,35,42,6,10,0,54932236
20220816,2022-08-16,10,14,25,32,39,7,8,0,65542062
20220819,2022-08-19,2,9,13,19,38,2,6,0,77782771
20220823,2022-08-23,19,26,31,39,48,2,3,0,87739478
20220826,2022-08-26,22,23,25,38,44,11,12,0,101607332
20220830,2022-08-30,4,6,10,15,19,1,4,0,112909220
20220902,2022-09-02,7,12,13,20,45,3,12,0,128491607
20220906,2022-09-06,7,10,22,29,44,4,5,0,17000000
20220909,2022-09-09,17,23,24,26,27,4,9,0,130000000
20220913,2022-09-13,9,12,15,40,47,1,11,0,143363071
20220916,2022-09-16,10,27,36,45,49,3,4,0,160585356
20220920,2022-09-20,11,21,23,32,48,3,12,0,174393431
20220923,2022-09-23,14,15,22,35,48,3,8,0,193007524
20220927,2022-09-27,4,20,21,34,44,1,3,0,17000000
20220930,2022-09-30,1,2,11,16,26,3,12,0,30779317
20221004,2022-10-04,3,18,28,42,43,3,12,0,41404202
20221007,2022-10-07,26,27,42,45,50,1,12,0,55925603
20221011,2022-10-11,8,23,32,35,40,1,8,0,67271821
20221014,2022-10-14,24,28,29,34,48,3,7,0,79886870
20221018,2022-10-18,3,5,13,42,48,1,6,0,89872400
20221021,2022-10-21,25,26,28,38,40,1,6,0,103645225
20221025,2022-10-25,7,24,34,39,46,1,6,0,115163196
20221028,2022-10-28,14,16,21,28,35,1,11,0,130427867
20221101,2022-11-01,19,37,42,47,48,1,6,0,142364827
20221104,2022-11-04,2,11,37,45,47,2,3,0,160788895
20221108,2022-11-08,3,5,32,33,50,1,8,0,17000000
20221111,2022-11-11,2,19,24,25,44,2,10,0,30268879
20221115,2022-11-15,13,21,24,31,33,1,12,0,40593926
20221118,2022-11-18,13,16,19,35,41,1,11,0,54718416
20221122,2022-11-22,21,22,24,29,42,3,11,0,65446418
20221125,2022-11-25,19,21,35,37,39,2,6,0,77861913
20221129,2022-11-29,15,20,24,35,38,8,12,0,87748883
20221202,2022-12-02,12,21,35,39,45,6,11,0,130000000
20221206,2022-12-06,12,20,25,26,27,8,12,0,142897164
20221209,2022-12-09,8,27,31,46,50,1,3,0,17000000
20221213,2022-12-13,3,9,12,26,30,10,11,0,27040539
20221216,2022-12-16,2,15,19,35,44,2,7,0,40613995
20221220,2022-12-20,1,11,17,20,27,4,5,0,51605931
20221223,2022-12-23,16,17,23,26,35,5,11,0,17000000
20221227,2022-12-27,19,31,33,34,43,3,5,0,26956990
20221230,2022-12-30,17,34,42,47,48,1,9,0,17000000
20230103,2023-01-03,20,21,29,45,46,3,10,0,26981449
20230106,2023-01-06,16,31,35,44,45,4,12,0,40092766
20230110,2023-01-10,11,13,34,40,42,3,10,0,51358215
20230113,2023-01-13,4,13,25,33,37,5,10,0,68825114
20230117,2023-01-17,18,21,30,46,50,2,6,0,17000000
20230120,2023-01-20,3,6,13,40,42,7,11,0,30055348
20230124,2023-01-24,11,27,41,43,47,7,11,0,40135672
20230127,2023-01-27,8,9,15,19,31,10,12,0,54426133
20230131,2023-01-31,7,12,19,33,43,3,7,0,66081021
20230203,2023-02-03,2,14,17,32,45,3,10,0,26903914
20230207,2023-02-07,2,8,34,44,47,3,9,0,37368401
20230210,2023-02-10,3,13,25,36,47,3,8,0,51805568
20230214,2023-02-14,24,26,38,43,46,2,3,0,63133766
20230217,2023-02-17,8,23,27,42,45,1,9,0,78038271
20230221,2023-02-21,21,22,34,41,49,2,7,0,87872368
20230224,2023-02-24,7,23,34,42,48,1,3,0,102242065
20230228,2023-02-28,12,29,33,37,47,5,10,0,17000000
20230303,2023-03-03,3,6,8,24,50,10,11,0,130000000
20230307,2023-03-07,11,13,24,35,50,6,11,0,144966361
20230310,2023-03-10,9,16,37,38,48,2,7,0,17000000
20230314,2023-03-14,16,26,28,31,46,11,12,0,27135288
20230317,2023-03-17,5,15,26,37,49,8,11,0,40979052
20230321,2023-03-21,1,9,20,29,32,2,3,0,51752818
20230324,2023-03-24,5,12,25,36,46,6,10,0,66287741
20230328,2023-03-28,16,21,34,36,44,9,10,0,17000000
20230331,2023-03-31,16,18,28,34,47,5,10,0,30291562
20230404,2023-04-04,10,16,31,33,50,3,8,0,40419101
20230407,2023-04-07,5,26,28,36,46,6,12,0,53926196
20230411,2023-04-11,10,14,16,19,29,2,10,0,64268424
20230414,2023-04-14,4,11,37,44,49,6,7,0,76614030
20230418,2023-04-18,17,21,23,35,37,10,11,0,86295887
20230421,2023-04-21,7,8,18,33,42,2,8,0,101652719
20230425,2023-04-25,10,29,30,40,45,1,12,0,113203135
20230428,2023-04-28,11,13,16,23,34,1,10,0,129017022
20230502,2023-05-02,7,32,44,47,48,7,8,0,141358073
20230505,2023-05-05,3,8,18,34,49,3,7,0,159123225
20230509,2023-05-09,13,17,21,28,46,7,9,0,17000000
20230512,2023-05-12,9,10,13,39,44,4,6,0,30501494
20230516,2023-05-16,4,6,9,14,37,4,11,0,40834212
20230519,2023-05-19,18,27,34,41,49,3,9,0,54581705
20230523,2023-05-23,5,6,14,23,34,2,11,0,65331075
20230526,2023-05-26,15,25,37,38,41,1,7,0,77603769
20230530,2023-05-30,27,29,32,33,47,2,8,0,87066382
20230602,2023-06-02,3,12,15,25,43,10,11,0,130000000
20230606,2023-06-06,13,21,32,39,50,2,10,0,17000000
20230609,2023-06-09,18,26,36,41,50,11,12,0,29999077
20230613,2023-06-13,15,16,21,41,50,5,6,0,39998137
20230616,2023-06-16,7,26,34,41,44,9,11,0,53695272
20230620,2023-06-20,11,17,28,32,35,5,6,0,64343648
20230623,2023-06-23,1,3,11,33,46,10,11,0,17000000
20230627,2023-06-27,17,22,23,27,44,1,7,0,26366576
20230630,2023-06-30,1,6,25,29,36,7,10,0,39350951
20230704,2023-07-04,14,17,23,36,44,2,8,0,49799831
20230707,2023-07-07,2,11,12,19,38,4,8,0,63819633
20230711,2023-07-11,2,11,28,42,48,4,9,0,73242322
20230714,2023-07-14,5,8,29,35,48,5,6,0,17000000
20230718,2023-07-18,4,12,34,35,45,1,9,0,26319523
20230721,2023-07-21,7,31,33,35,36,7,10,0,38938247
20230725,2023-07-25,5,7,11,27,37,6,12,0,48942250
20230728,2023-07-28,7,32,33,34,38,6,9,0,62712326
20230801,2023-08-01,25,27,35,40,45,7,11,0,72144196
20230804,2023-08-04,15,20,31,44,48,1,3,0,17000000
20230808,2023-08-08,8,9,33,35,40,3,6,0,26419369
20230811,2023-08-11,4,6,10,13,34,3,5,0,39046910
20230815,2023-08-15,3,5,9,32,43,6,10,0,48439436
20230818,2023-08-18,23,25,30,44,47,9,12,0,61993456
20230822,2023-08-22,2,9,23,32,40,6,7,0,71241834
20230825,2023-08-25,16,17,34,35,44,5,10,0,83895709
20230829,2023-08-29,21,23,32,40,49,8,11,0,94132132
20230901,2023-09-01,4,5,35,37,43,5,6,0,109268140
20230905,2023-09-05,1,7,24,41,48,10,12,0,17000000
20230908,2023-09-08,10,20,21,26,33,3,4,0,29856760
20230912,2023-09-12,5,14,36,40,42,2,11,0,39749427
20230915,2023-09-15,12,14,21,45,48,8,11,0,54951738
20230919,2023-09-19,10,15,31,41,42,2,5,0,17000000
20230922,2023-09-22,3,23,24,34,35,5,8,0,30052281
20230926,2023-09-26,2,6,14,19,23,5,7,0,40110282
20230929,2023-09-29,9,11,13,21,32,2,7,0,130000000
20231003,2023-10-03,6,20,22,24,45,4,5,0,17000000
20231006,2023-10-06,21,29,31,34,43,2,9,0,30163856
20231010,2023-10-10,18,20,22,33,43,3,9,0,40033037
20231013,2023-10-13,21,26,28,40,41,2,4,0,56657304
20231017,2023-10-17,10,17,20,35,40,3,4,0,67318140
20231020,2023-10-20,2,20,28,40,45,1,5,0,17000000
20231024,2023-10-24,8,16,18,31,34,6,9,0,26274769
20231027,2023-10-27,29,33,35,48,49,3,8,0,17000000
20231031,2023-10-31,5,7,20,40,50,2,10,0,17000000
20231103,2023-11-03,8,21,31,39,47,5,9,0,31218086
20231107,2023-11-07,8,10,11,30,39,4,10,0,17000000
20231110,2023-11-10,10,21,30,38,42,2,12,0,29442596
20231114,2023-11-14,13,16,36,44,50,3,5,0,38766955
20231117,2023-11-17,2,24,26,46,50,2,7,0,51871164
20231121,2023-11-21,19,29,34,46,47,2,3,0,61945882
20231124,2023-11-24,15,20,29,39,48,1,7,0,73689177
20231128,2023-11-28,12,16,27,33,44,7,8,0,83068817
20231201,2023-12-01,4,10,14,38,50,9,12,0,200000000
20231205,2023-12-05,4,6,20,24,25,5,9,0,218859088
20231208,2023-12-08,17,30,42,48,50,4,8,0,240000000
20231212,2023-12-12,6,28,37,39,43,9,12,0,17000000
20231215,2023-12-15,2,13,37,38,48,5,9,0,30315474
20231219,2023-12-19,10,20,41,43,45,2,12,0,40468227
20231222,2023-12-22,6,14,34,44,49,4,12,0,55662868
20231226,2023-12-26,8,27,30,35,47,9,10,0,17000000
20231229,2023-12-29,2,3,19,36,37,6,9,0,30547317
20240102,2024-01-02,7,15,18,46,49,10,12,0,40104043
20240105,2024-01-05,4,7,18,39,50,3,8,0,53860693
20240109,2024-01-09,2,9,12,39,40,1,3,0,64655930
20240112,2024-01-12,16,17,18,45,49,9,12,0,78232869
20240116,2024-01-16,10,18,21,33,45,8,12,0,87952574
20240119,2024-01-19,27,28,44,48,50,7,12,0,17000000
20240123,2024-01-23,14,23,39,48,50,3,12,0,17000000
20240126,2024-01-26,8,19,32,41,42,9,12,0,130000000
20240130,2024-01-30,5,10,19,27,30,5,6,0,144549616
20240202,2024-02-02,13,20,23,27,42,5,9,0,17000000
20240206,2024-02-06,2,7,21,28,45,5,11,0,26671243
20240209,2024-02-09,23,24,35,37,45,9,12,0,39863292
20240213,2024-02-13,13,17,18,20,46,4,9,0,50200268
20240216,2024-02-16,8,13,14,24,26,1,2,0,64205788
20240220,2024-02-20,23,31,37,42,48,3,7,0,73448160
20240223,2024-02-23,24,27,28,30,49,1,12,0,17000000
20240227,2024-02-27,3,4,9,12,20,5,6,0,26481832
20240301,2024-03-01,4,7,19,20,34,2,4,0,39478163
20240305,2024-03-05,2,15,17,23,36,3,8,0,49724673
20240308,2024-03-08,8,11,12,16,44,4,7,0,63706419
20240312,2024-03-12,13,19,30,38,46,4,12,0,72905622
20240315,2024-03-15,1,4,31,34,40,4,5,0,130000000
20240319,2024-03-19,7,16,18,20,32,1,3,0,17000000
20240322,2024-03-22,8,11,23,32,44,9,10,0,29416867
20240326,2024-03-26,2,13,14,26,29,5,6,0,38982717
20240329,2024-03-29,16,17,35,36,49,1,10,0,52158877
20240402,2024-04-02,1,23,31,36,48,5,8,0,61841233
20240405,2024-04-05,13,18,26,35,37,8,11,0,73573473
20240409,2024-04-09,19,23,26,27,46,2,10,0,82919693
20240412,2024-04-12,2,3,12,16,45,2,11,0,95455077
20240416,2024-04-16,22,29,31,39,46,3,7,0,106321540
20240419,2024-04-19,10,20,40,44,46,1,3,0,121428317
20240423,2024-04-23,6,9,11,32,49,2,10,0,133997921
20240426,2024-04-26,2,20,39,40,47,4,8,0,152030614
20240430,2024-04-30,13,22,24,33,47,1,5,0,166790050
20240503,2024-05-03,6,9,10,30,49,3,4,0,17000000
20240507,2024-05-07,35,36,41,42,45,6,11,0,26436748
20240510,2024-05-10,13,28,29,44,48,4,12,0,38735491
20240514,2024-05-14,2,8,17,28,35,7,9,0,48748900
20240517,2024-05-17,18,31,32,41,46,1,10,0,17000000
20240521,2024-05-21,11,13,14,34,48,7,9,0,25835023
20240524,2024-05-24,9,12,18,22,50,1,3,0,38150341
20240528,2024-05-28,16,18,35,36,41,6,7,0,47755445
20240531,2024-05-31,4,7,16,33,34,7,8,0,61212842
20240604,2024-06-04,6,7,9,14,43,3,4,0,70207869
20240607,2024-06-07,15,16,26,30,37,5,8,0,130000000
20240611,2024-06-11,7,15,34,45,48,7,9,0,143550510
20240614,2024-06-14,2,13,16,24,32,1,7,0,161234811
20240618,2024-06-18,3,11,33,34,36,1,12,0,176125264
20240621,2024-06-21,3,4,7,11,17,3,12,0,195721466
20240625,2024-06-25,14,16,37,45,49,5,7,0,213887390
20240628,2024-06-28,10,16,18,22,35,1,10,0,17000000
20240702,2024-07-02,2,7,34,35,46,6,8,0,26534528
20240705,2024-07-05,11,13,29,31,47,1,11,0,39132032
20240709,2024-07-09,6,15,19,28,39,7,11,0,17000000
20240712,2024-07-12,12,18,24,25,39,8,10,0,29128125
20240716,2024-07-16,2,32,35,36,39,7,8,0,38567424
20240719,2024-07-19,15,22,35,44,48,6,7,0,52363998
20240723,2024-07-23,4,8,10,16,34,4,8,0,17000000
20240726,2024-07-26,4,19,23,35,37,4,8,0,28649442
20240730,2024-07-30,9,25,28,37,38,2,8,0,17000000
20240802,2024-08-02,5,7,12,33,46,3,12,0,28776998
20240806,2024-08-06,1,18,27,41,50,2,12,0,38085988
20240809,2024-08-09,21,23,25,33,44,4,10,0,50649440
20240813,2024-08-13,15,16,39,40,47,1,6,0,60887191
20240816,2024-08-16,15,17,29,45,49,1,10,0,72769716
20240820,2024-08-20,7,10,13,18,26,3,12,0,81964326
20240823,2024-08-23,9,15,24,47,50,8,9,0,94498718
20240827,2024-08-27,1,8,11,42,47,4,11,0,104936241
20240830,2024-08-30,3,24,27,33,42,4,6,0,119772690
20240903,2024-09-03,7,9,11,16,45,2,5,0,132447715
20240906,2024-09-06,12,14,34,41,47,3,4,0,149017789
20240910,2024-09-10,6,29,46,47,48,2,9,0,17000000
20240913,2024-09-13,10,15,17,31,42,4,12,0,31511704
20240917,2024-09-17,20,30,32,41,44,1,10,0,41391923
20240920,2024-09-20,16,25,29,34,37,3,7,0,54712555
20240924,2024-09-24,18,20,21,36,49,3,5,0,65337927
20240927,2024-09-27,7,20,21,27,38,5,12,0,130000000
20241001,2024-10-01,8,22,29,41,42,9,11,0,143969599
20241004,2024-10-04,4,8,16,17,20,1,6,0,162256512
20241008,2024-10-08,7,14,19,34,40,6,8,0,17000000
20241011,2024-10-11,16,23,32,46,49,4,5,0,29821152
20241015,2024-10-15,2,15,32,36,48,3,9,0,39530015
20241018,2024-10-18,4,15,23,30,39,1,12,0,53040810
20241022,2024-10-22,3,13,27,30,46,1,2,0,63353583
20241025,2024-10-25,4,17,20,25,45,8,9,0,76313062
20241029,2024-10-29,1,2,19,30,45,10,12,0,85747959
20241101,2024-11-01,7,33,38,44,50,2,7,0,98005009
20241105,2024-11-05,1,8,19,37,50,6,9,0,109544201
20241108,2024-11-08,2,33,35,42,48,1,3,0,124837601
20241112,2024-11-12,10,11,12,22,50,1,10,0,137211026
20241115,2024-11-15,7,8,34,39,44,2,6,0,153801395
20241119,2024-11-19,4,13,20,28,49,7,12,0,167885088
20241122,2024-11-22,10,11,12,29,31,8,11,0,194669133
20241126,2024-11-26,7,11,25,31,40,9,12,0,212448937
20241129,2024-11-29,8,17,18,29,43,5,9,0,17000000
20241203,2024-12-03,23,25,34,46,47,6,8,0,27018617
20241206,2024-12-06,14,25,39,44,47,6,10,0,40367384
20241210,2024-12-10,5,24,25,29,47,5,9,0,50987545
20241213,2024-12-13,1,15,25,42,50,4,10,0,67852509
20241217,2024-12-17,1,3,4,21,29,2,7,0,77557137
20241220,2024-12-20,10,14,21,33,50,6,9,0,17000000
20241224,2024-12-24,6,10,16,23,24,11,12,0,28754036
20241227,2024-12-27,12,22,27,33,45,4,8,0,41205363
20241231,2024-12-31,19,24,26,28,33,8,12,0,17000000
20250103,2025-01-03,3,19,29,35,37,1,9,0,29139979
20250107,2025-01-07,20,33,35,41,47,4,12,0,39138031
20250110,2025-01-10,12,27,36,37,42,6,7,0,52905618
20250114,2025-01-14,18,20,29,41,48,5,9,0,63894652
20250117,2025-01-17,8,15,24,35,42,6,8,0,76208290
20250121,2025-01-21,6,8,14,27,41,4,5,0,85948097
20250124,2025-01-24,2,11,19,30,49,3,8,0,99397573
20250128,2025-01-28,9,37,41,42,49,1,9,0,17000000
20250131,2025-01-31,22,30,41,44,49,2,7,0,29691765
20250204,2025-02-04,3,4,29,39,43,5,10,0,39688311
20250207,2025-02-07,10,23,24,29,45,8,10,0,53335818
20250211,2025-02-11,3,21,36,41,46,1,6,0,64222634
20250214,2025-02-14,4,14,31,36,38,3,10,0,78450739
20250218,2025-02-18,5,14,25,26,40,5,7,0,17000000
20250221,2025-02-21,1,3,11,20,43,2,11,0,29270259
20250225,2025-02-25,17,22,23,24,44,6,11,0,38919455
20250228,2025-02-28,7,16,31,43,46,5,9,0,52448674
20250304,2025-03-04,15,20,29,35,42,2,9,0,17000000
20250307,2025-03-07,6,10,27,32,48,3,8,0,130000000
20250311,2025-03-11,13,36,37,42,47,7,11,0,144588956
20250314,2025-03-14,8,10,33,35,49,2,9,0,163297044
20250318,2025-03-18,4,9,35,46,50,8,11,0,179328993
20250321,2025-03-21,9,17,18,21,50,5,12,0,200584076
20250325,2025-03-25,1,3,18,33,36,2,6,0,220427177
20250328,2025-03-28,10,21,30,42,45,1,9,0,250000000
20250401,2025-04-01,9,24,30,46,49,4,12,0,17000000
20250404,2025-04-04,27,39,41,45,50,5,7,0,30117535
20250408,2025-04-08,3,14,15,48,49,1,7,0,17000000
20250411,2025-04-11,14,28,34,46,49,3,8,0,29653056
20250415,2025-04-15,3,31,33,38,44,6,12,0,39576503
20250418,2025-04-18,20,27,35,39,48,3,8,0,52448887
20250422,2025-04-22,7,28,33,37,47,9,12,0,62465228
20250425,2025-04-25,13,22,32,39,41,1,12,0,74400108
20250429,2025-04-29,2,9,24,30,41,1,11,0,83786487
